수신,선물 인덱스,내용
산타 할아버지께,0,메리 크리스마스! 저는 RC카가 너무 가지고 싶어요! 친구들에게 자랑하고 싶어요.
산타 할아버지께,1,찰칵 찰칵! 사진을 찍는 게 너무 재미있어요. 저도 카메라를 가지고 싶어요! 크리스마스의 추억을 남기고 싶어요.
산타 할아버지께,2,저는 공원에서 자전거를 타는 것을 너무 좋아해요! 그래서 저만의 자전거를 가지는 게 소원이예요. 기다리고 있을게요!
산타 할아버지께,3,산타 할아버지! 저는 무엇이든지 만들 수 있는 블록을 가지고 싶어요! 크리스마스 선물로 받으면 너무 좋을 것 같아요.
산타 할아버지께,4,제 꿈은 의사예요! 사람들의 생명을 살리는 멋진 의사가 되고싶어요. 그래서 병원 놀이 세트가 있었으면 좋겠어요. 메리 크리스마스!
산타 할아버지께,5,저는 요즘 시계보는 법을 배우고 있어요! 조금 어렵긴 하지만 재미있어요. 그래서 시계를 가지고 싶어요!
산타 할아버지께,6,안녕하세요 산타 할아버지! 저는 아빠랑 낚시를 자주 가요. 그래서 크리스마스 선물로 낚시 놀이 세트를 받고 싶어요. 기다리고 있을게요!
산타 할아버지께,7,저는 기차 타는 걸 정말 좋아해요. 기차를 타고 보는 풍경은 정말 예뻐요. 그래서 집에서도 기차 놀이를 하고 싶어요. 크리스마스 때 기차 놀이 세트를 주실 수 있으신가요?
산타 할아버지께,8,안녕하세요. 저도 휴대폰을 가지고 싶어요! 엄마가 휴대폰을 못가지고 놀게 해요.. 저도 저만의 폰이 있었으면 좋겠어요. 간절해요!
산타 할아버지께,9,저에게는 삐삐라는 강아지 친구가 있어요. 삐삐에게 친구를 만들어주고 싶어요. 동물 인형이 삐삐에게 좋은 친구가 될 것 같아요.
산타 할아버지께,10,안녕하세요. 저는 예쁜 공주 인형이 가지고 싶어요. 제 다른 인형들에게 친구를 만들어주고 싶거든요. 크리스마스 때 만나요. 메리 크리스마스!
산타 할아버지께,11,산타 할아버지! 저는 공룡을 정말 좋아해요. 공룡에 대해선 모르는게 없답니다! 그래서 저는 공룡 인형을 꼭 가지고 싶어요. 꼭 주실거죠? 메리크리스마스!
산타 할아버지께,12,안녕하세요! 잘 지내고 계신가요? 저는 인형이 가지고 싶어요. 그 중에서도 귀여운 곰인형을 원해요! 메리 크리스마스!
산타 할아버지께,13,"겨울이 되면 손이 너무 시려워요. 그래서 손을 따뜻하게 할 수 있는 장갑을 가지고 싶어요. 기다리고 있을게요, 메리 크리스마스!"
산타 할아버지께,14,저는 게임을 정말 좋아해요. 친구들이랑 보드 게임을 할 때면 시간 가는 줄을 몰라요. 크리스마스 선물로 보드게임을 받으면 너무 좋을 것 같아요.
산타 할아버지께,15,"안녕하세요, 산타 할아버지. 엄마는 이가 섞는다고 평소에 과자를 못먹게 해요. 그래서 크리스마스 때는 꼭 과자를 먹고 싶어요. 특별한 날이니까요!"
산타 할아버지께,16,저는 내년에 초등학교에 입학해요! 그래서 새로운 학용품들이 가지고 싶어요. 그걸로 열심히 공부를 할 거예요!
산타 할아버지께,17,"안녕하세요, 산타할아버지! 저는 그림 그리는 걸 정말 좋아한답니다. 그래서 새로운 크레용을 가지고 싶어요! 메리 크리스마스!"
산타 할아버지께,18,"저는 만화책을 너무 좋아해요! 이번에 새로 나온 만화책이 있던데, 이번 크리스마스에는 그 책을 받고 싶어요!"
산타 할아버지께,19,저는 비눗방울을 정말 좋아한답니다! 후 불면 나오는 비눗방울이 너무 예뻐요. 크리스마스 선물로 비눗방울을 받는다면 정말 기쁠 것 같아요.
